Item,Disaster Type,Month,gglCountry,PersonsPerItem
MosquitoNetGen,DEFAULT,-1,Libya,1.00E+15
MosquitoNetGen,DEFAULT,-1,Democratic Republic of the Congo,2.5
MosquitoNetGen,DEFAULT,-1,The Gambia,2.5
MosquitoNetGen,DEFAULT,-1,Guinea-Bissau,2.5
MosquitoNetGen,DEFAULT,-1,Cape Verde,2.5
MosquitoNetGen,DEFAULT,-1,Reunion,1.00E+15
MosquitoNetGen,DEFAULT,-1,Saint Helena,1.00E+15
MosquitoNetGen,DEFAULT,-1,Mayotte,2.5
MosquitoNetGen,DEFAULT,-1,Tanzania,2.5
MosquitoNetGen,DEFAULT,-1,South Sudan,2.5
MosquitoNetGen,DEFAULT,-1,Congo,2.5
MosquitoNetGen,DEFAULT,-1,Algeria,1.00E+15
MosquitoNetGen,DEFAULT,-1,Angola,2.5
MosquitoNetGen,DEFAULT,-1,Benin,2.5
MosquitoNetGen,DEFAULT,-1,Botswana,2.5
MosquitoNetGen,DEFAULT,-1,Burkina Faso,2.5
MosquitoNetGen,DEFAULT,-1,Burundi,2.5
MosquitoNetGen,DEFAULT,-1,Cameroon,2.5
MosquitoNetGen,DEFAULT,-1,Chad,2.5
MosquitoNetGen,DEFAULT,-1,Comoros,2.5
MosquitoNetGen,DEFAULT,-1,Djibouti,2.5
MosquitoNetGen,DEFAULT,-1,Egypt,2.5
MosquitoNetGen,DEFAULT,-1,Equatorial Guinea,2.5
MosquitoNetGen,DEFAULT,-1,Eritrea,2.5
MosquitoNetGen,DEFAULT,-1,Ethiopia,2.5
MosquitoNetGen,DEFAULT,-1,Gabon,2.5
MosquitoNetGen,DEFAULT,-1,Ghana,2.5
MosquitoNetGen,DEFAULT,-1,Guinea,2.5
MosquitoNetGen,DEFAULT,-1,Kenya,2.5
MosquitoNetGen,DEFAULT,-1,Lesotho,1.00E+15
MosquitoNetGen,DEFAULT,-1,Liberia,2.5
MosquitoNetGen,DEFAULT,-1,Madagascar,2.5
MosquitoNetGen,DEFAULT,-1,Malawi,2.5
MosquitoNetGen,DEFAULT,-1,Mali,2.5
MosquitoNetGen,DEFAULT,-1,Mauritania,2.5
MosquitoNetGen,DEFAULT,-1,Mauritius,1.00E+15
MosquitoNetGen,DEFAULT,-1,Morocco,1.00E+15
MosquitoNetGen,DEFAULT,-1,Mozambique,2.5
