Agency,NameCity,depotGglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,Order,disasterGglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,Distance_km,DrivingTime_h
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Albany , United States",United States,42.6525793,-73.7562317,584.0,5.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Juneau , United States",United States,58.3019444,-134.4197221,5976.0,66.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Harrisburg , United States",United States,40.2731911,-76.8867008,194.0,2.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Pierre , United States",United States,44.3683156,-100.3509665,2393.0,21.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Annapolis , United States",United States,38.9784453,-76.4921829,51.0,0.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Concord , United States",United States,43.2081366,-71.5375718,784.0,7.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Trenton , United States",United States,40.2170534,-74.7429384,271.0,2.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Honolulu , United States",United States,21.3069444,-157.8583333,1000000.0,1000000.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Madison , United States",United States,43.0730517,-89.4012302,1360.0,12.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Nashville , United States",United States,36.1626638,-86.7816016,1071.0,9.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Des Moines , United States",United States,41.6005448,-93.6091064,1635.0,15.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Atlanta , United States",United States,33.7489954,-84.3879824,1039.0,9.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Saint Paul , United States",United States,44.9537029,-93.0899578,1768.0,16.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Columbus , United States",United States,39.9611755,-82.9987942,646.0,6.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Oklahoma City , United States",United States,35.4675602,-97.5164276,2159.0,19.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Frankfort , United States",United States,38.2009055,-84.8732835,898.0,8.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Topeka , United States",United States,39.0558235,-95.6890185,1805.0,17.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Denver , United States",United States,39.7392358,-104.990251,2674.0,24.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Jackson , United States",United States,32.2987573,-90.1848103,1574.0,14.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Washington D.C. , United States",United States,38.9071923,-77.0368707,0.0,0.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Baton Rouge , United States",United States,30.4582829,-91.1403196,1836.0,16.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Richmond , United States",United States,37.5407246,-77.4360481,185.0,1.0
