Agency,NameCity,depotGglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,Order,disasterGglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,drivingTime_hrs,distance_km
RED CROSS,Honiara,Solomon Islands,"Honiara, Solomon Islands",-9.427533,159.9316,3,Palau,Palau,7.51498,134.58252,1000000,1000000
RED CROSS,Honiara,Solomon Islands,"Honiara, Solomon Islands",-9.427533,159.9316,3,Papua New Guinea,"Port Moresby, Papua New Guinea",-9.4438004,147.1802671,1000000,1000000
RED CROSS,Honiara,Solomon Islands,"Honiara, Solomon Islands",-9.427533,159.9316,3,Philippines,"Manila, Philippines",14.5995124,120.9842195,1000000,1000000
RED CROSS,Honiara,Solomon Islands,"Honiara, Solomon Islands",-9.427533,159.9316,3,Samoa,"Apia, Samoa",-13.833333,-171.75,1000000,1000000
RED CROSS,Honiara,Solomon Islands,"Honiara, Solomon Islands",-9.427533,159.9316,3,Tonga,"Nuku'alofa, Tonga",-21.133333,-175.2,1000000,1000000
RED CROSS,Honiara,Solomon Islands,"Honiara, Solomon Islands",-9.427533,159.9316,3,Tuvalu,"Funafuti, Tuvalu",-8.516667,179.216667,1000000,1000000
RED CROSS,Honiara,Solomon Islands,"Honiara, Solomon Islands",-9.427533,159.9316,3,Vanuatu,"Port Vila, Vanuatu",-17.7332512,168.3273245,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Wallis and Futuna,"Mata'utu, Wallis and Futuna",-13.2825091,-176.1764475,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Marshall Islands,"Majuro Atoll, RMI",7.1164214,171.1857736,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Wallis and Futuna,"Mata'utu, Wallis and Futuna",-13.2825091,-176.1764475,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Timor-Leste,"Dili, Timor-Leste",-8.5568557,125.5603143,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Cook Islands,"Avarua District, Cook Islands",-21.2129007,-159.7823059,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Brunei,"Bandar Seri Begawan, Brunei",4.890278,114.942222,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Northern Mariana Islands,"Saipan, 96950, CNMI",15.177801,145.750967,1000000,1000000
